AeroDyn airfoil file Created with QBlade CE v 2.0.5.2_alpha windows on 30.03.2023 at 09:20:20 Compatible with AeroDyn v13.0.
Polar "EPPLER_422_AIRFOIL_Re0.550_M0.00_N9.0 360 M (2)" on Foil "EPPLER 422 AIRFOIL" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
84.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
6.27714        Cn slope for zero lift for linear Cn curve (1/rad)
1.1760         Cn at stall value for positive angle of attack for linear Cn curve
-0.7346        Cn at stall value for negative angle of attack for linear Cn curve
3.00           Angle of attack for minimum CD (deg)
0.0104         Minimum CD value
  -180.000 -0.290563  0.006000 -0.119093
  -179.000 -0.226389  0.006517 -0.092355
  -178.000 -0.169115  0.008063 -0.068600
  -177.000 -0.121446  0.010635 -0.048882
  -176.000 -0.083541  0.014226 -0.033206
  -175.000 -0.053254  0.018827 -0.020647
  -174.000 -0.027733  0.024431 -0.010010
  -173.000 -0.004691  0.031027 -0.000348
  -172.000  0.017251  0.038603  0.008907
  -171.000  0.038742  0.047148  0.018028
  -170.000  0.059996  0.056647  0.027109
  -169.000  0.081002  0.067087  0.036159
  -168.000  0.101657  0.078451  0.045145
  -167.000  0.121825  0.090723  0.054028
  -166.000  0.141374  0.103884  0.062769
  -165.000  0.160188  0.117917  0.071335
  -164.000  0.178165  0.132801  0.079701
  -163.000  0.195222  0.148515  0.087850
  -162.000  0.211293  0.165038  0.095771
  -161.000  0.226327  0.182347  0.103458
  -160.000  0.240282  0.200419  0.110910
  -159.000  0.253130  0.219229  0.118130
  -158.000  0.264851  0.238753  0.125125
  -157.000  0.275432  0.258964  0.131904
  -156.000  0.284871  0.279835  0.138477
  -155.000  0.293167  0.301341  0.144857
  -154.000  0.300328  0.323452  0.151059
  -153.000  0.306368  0.346140  0.157097
  -152.000  0.311303  0.369376  0.162987
