AeroDyn airfoil file Created with QBlade CE v 2.0.5.2_alpha windows on 30.03.2023 at 09:20:48 Compatible with AeroDyn v13.0.
Polar "EPPLER_422_AIRFOIL_Re0.600_M0.00_N9.0 360 M" on Foil "EPPLER 422 AIRFOIL" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
77.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
6.28946        Cn slope for zero lift for linear Cn curve (1/rad)
1.1272         Cn at stall value for positive angle of attack for linear Cn curve
-0.7495        Cn at stall value for negative angle of attack for linear Cn curve
3.00           Angle of attack for minimum CD (deg)
0.0100         Minimum CD value
  -180.000 -0.284694  0.006000 -0.116688
  -179.000 -0.218001  0.006517 -0.088932
  -178.000 -0.156799  0.008063 -0.063595
  -177.000 -0.105031  0.010635 -0.042244
  -176.000 -0.064540  0.014226 -0.025563
  -175.000 -0.033877  0.018827 -0.012894
  -174.000 -0.009683  0.024431 -0.002830
  -173.000  0.011238  0.031027  0.005949
  -172.000  0.030946  0.038603  0.014286
  -171.000  0.050433  0.047148  0.022589
  -170.000  0.070016  0.056647  0.030991
  -169.000  0.089675  0.067087  0.039493
  -168.000  0.109255  0.078451  0.048044
  -167.000  0.128562  0.090723  0.056578
  -166.000  0.147415  0.103884  0.065035
  -165.000  0.165655  0.117917  0.073368
  -164.000  0.183150  0.132801  0.081539
  -163.000  0.199794  0.148515  0.089519
  -162.000  0.215503  0.165038  0.097293
  -161.000  0.230213  0.182347  0.104848
  -160.000  0.243875  0.200419  0.112182
  -159.000  0.256451  0.219229  0.119293
  -158.000  0.267919  0.238753  0.126188
  -157.000  0.278261  0.258964  0.132872
  -156.000  0.287471  0.279835  0.139356
  -155.000  0.295549  0.301341  0.145653
  -154.000  0.302501  0.323452  0.151775
  -153.000  0.308339  0.346140  0.157738
  -152.000  0.313079  0.369376  0.163557
  -151.000  0.316743  0.393131  0.169248
  -150.000  0.319356  0.417373  0.174828
  -149.000  0.320946  0.442073  0.180314
  -148.000  0.321547  0.467199  0.185721
  -147.000  0.321193  0.492720  0.191067
  -146.000  0.319922  0.518604  0.196366
  -145.000  0.317776  0.544818  0.201635
  -144.000  0.314796  0.571331  0.206887
  -143.000  0.311027  0.598109  0.212136
  -142.000  0.306515  0.625120  0.217396
  -141.000  0.301308  0.652330  0.222676
  -140.000  0.295455  0.679707  0.227988
  -139.000  0.289005  0.707216  0.233341
  -138.000  0.282008  0.734824  0.238742
  -137.000  0.274516  0.762499  0.244198
  -136.000  0.266578  0.790207  0.249713
  -135.000  0.258246  0.817914  0.255291
  -134.000  0.249571  0.845587  0.260933
  -133.000  0.240602  0.873193  0.266641
  -132.000  0.231388  0.900700  0.272413
  -131.000  0.221980  0.928074  0.278246
  -130.000  0.212423  0.955283  0.284136
  -129.000  0.202764  0.982295  0.290077
  -128.000  0.193048  1.009078  0.296063
  -127.000  0.183318  1.035600  0.302084
  -126.000  0.173615  1.061831  0.308132
